scopus_source_id,print_issn,e_issn,frequency,review_time,journal_website
21100826268,15082806,23007036,Quarterly,20 weeks,https://journals.agh.edu.pl/csci
21100826382,20893191,23029285,,,
21100826383,,20893272,,,
21100827946,,20566387,,,
21100831441,22178309,22178333,Quarterly,6 weeks,http://www.temjournal.com/
21100838145,,20751702,,,
21100842538,,1664848X,,,
21100853526,21678375,21678383,Quarterly,,http://teac.acm.org/
21100854726,18140424,18140432,Semi-annual,,http://ijmcs.futureintech.net/
21100855505,,20572093,,,
21100855995,20439989,20439997,,,
27930,16718860,,,,
28352,14635003,14635011,Monthly,,http://www.journals.elsevier.com/ocean-modelling/#description
4500151509,1641876X,20838492,Quarterly,53 weeks,https://www.amcs.uz.zgora.pl/
4700152467,10002618,,,,
4700152641,1290541,17936373,Bi-monthly,,http://www.worldscinet.com/ijfcs/ijfcs.shtml
4700152646,2196220,17936845,Bi-monthly,,http://www.worldscinet.com/ijitdm/ijitdm.shtml
4700152809,16831470,,,,
4800153205,15564665,15564703,Quarterly,,http://taas.acm.org/
4900152403,2198762,17936969,Bi-monthly,,http://www.worldscinet.com/ijcm/ijcm.shtml
4900152803,10096124,15597067,Bi-monthly,,http://www.springerlink.com/content/120065/
5100155071,15540669,15540677,Bi-monthly,,http://www.nowpublishers.com/journals/INR/
110111,15411672,19411294,Bi-monthly,,http://www.computer.org/portal/web/computingnow/intelligentsystems
11300153726,1088467X,15714128,Bi-monthly,,https://www.iospress.nl/journal/intelligent-data-analysis/
11700154336,15493636,15526607,,,
11700154734,19353812,19353820,Quarterly,,http://www.springerlink.com/content/1935-3812
12358,15622479,21993211,Bi-monthly,,http://link.springer.com/journal/40815
12409,9236082,15730824,Quarterly,,http://www.springerlink.com/content/100319/
12795,3010066,14684233,Monthly,,https://uk.sagepub.com/en-gb/eur/perception/journal202440
12872,100285,10955623,Bi-monthly,,http://www.journals.elsevier.com/cognitive-psychology/#description
12874,3640213,15516709,Bi-monthly,,https://onlinelibrary.wiley.com/journal/15516709
12886,13890417,,Bi-monthly,,http://www.journals.elsevier.com/cognitive-systems-research/#description
12931,1969722,10876553,Bi-monthly,,http://www.tandfonline.com/loi/ucbs20
12962,3341860,2191026X,Quarterly,51 weeks,https://www.degruyter.com/view/journals/jisys/jisys-overview.xml
12981,0368492X,17587883,Monthly,,http://www.emeraldinsight.com/loi/k
130113,16124782,16124790,Quarterly,,http://www.springerlink.com/content/110966/
13017,15710645,18731457,Quarterly,,http://www.sciencedirect.com/science/journal/15710645
13427,2397528,23001917,Bi-monthly,40 weeks,https://journals.pan.pl/bpasts
13880,9248463,15728382,Quarterly,,http://link.springer.com/journal/10506
144653,14335298,16147456,Quarterly,,http://www.springer.com/computer/ai/journal/10015
144749,17298806,17298814,,,
144945,1566113X,15729427,Quarterly,,http://www.springerlink.com/content/106607/
14500154734,18645909,18645917,Quarterly,,http://link.springer.com/journal/12065
145264,13460714,,,,
145544,1675133,14774593,Quarterly,,http://jos.oxfordjournals.org/
15109,9168532,,,,
15134,200255,18726291,Fortnightly,,http://www.journals.elsevier.com/information-sciences/#description
15435,13558250,,Monthly,,https://www.ingentaconnect.com/content/imp/jcs
15552,1419331,18729436,Bi-monthly,,http://www.journals.elsevier.com/microprocessors-and-microsystems/#description
15703,2191377,2193116,Monthly,,http://www.springerlink.com/content/105441/
18016,9295593,15737527,Bi-monthly,,http://www.springerlink.com/content/100243/
18050,2783649,17413176,Monthly,,http://ijr.sagepub.com/
18056,10020446,,,,
18197,10692509,18758835,Quarterly,,https://www.iospress.nl/journal/integrated-computer-aided-engineering/
19270,2181940,17936403,Monthly,,http://www.worldscinet.com/ijseke/ijseke.shtml
19294,10946136,10991425,Bi-monthly,,http://www.springerlink.com/content/111647/
19300156903,19358237,19358245,Quarterly,,http://www.nowpublishers.com/MAL
19600166036,9740635,,,,
19700166503,13430130,18838014,Bi-monthly,,http://www.fujipress.jp/JACIII/index.html
19700175219,17350654,,Tri-annual,,http://ijfs.usb.ac.ir/
19700177025,1943068X,19430698,Quarterly,,https://ieeexplore.ieee.org/servlet/opac?punumber=7782673
19700177336,18688071,1868808X,Bi-monthly,,http://link.springer.com/journal/13042
19700186872,15573958,15573966,Quarterly,,http://www.igi-global.com/gateway/journal/1095
19700190323,21576904,21576912,Bi-monthly,,https://tist.acm.org/
19900191732,19462166,19462174,Tri-annual,,http://www.iospress.nl/journal/argument-computation/
19900191735,17568757,17568765,Quarterly,,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1756-8765
19900191975,17528909,17528917,,,
19900193685,13272314,18758827,Quarterly,,http://www.iospress.nl/journal/international-journal-of-knowledge-based-and-intelligent-engineering-systems/
20969,15324435,15337928,Annual,,http://www.mtome.com/Publications/JMLR/jmlr.html
21100199837,16625218,,Annual,14 weeks,http://www.frontiersin.org/neurorobotics
21100204931,11209550,,,,
21100210905,20416695,,Annual,12 weeks,https://journals.sagepub.com/home/ipe
21100211724,18724981,18758843,Quarterly,,http://www.iospress.nl/journal/intelligent-decision-technologies/
21100218522,2212683X,,,,
21100235616,2162237X,21622388,Monthly,,http://ieeexplore.ieee.org/xpl/aboutJournal.jsp?punumber=5962385
21100285028,21682291,21682305,Bi-monthly,,http://ieeexplore.ieee.org/xpl/aboutJournal.jsp?punumber=6221037
21100286449,,,,,
21100301601,21606455,21606463,Quarterly,,http://tiis.acm.org/
21100325719,20451059,20451067,,,
21100327713,,22239766,,,
21100367773,23299274,23299274,Bi-monthly,,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=6570654
21100411629,24056456,24056464,Quarterly,,http://content.iospress.com/journals/web-intelligence/14/3
21100440516,,21507988,,,
21100454976,18978649,20802145,,,
21100464776,2311004X,23105070,,,
21100466219,18612032,18612040,Quarterly,,http://link.springer.com/journal/13740
21100779064,21695172,21695180,Bi-monthly,,http://www.liebertpub.com/soro
21100781972,21926352,21926360,Quarterly,,https://www.springer.com/journal/13748
21100784665,23798920,23798939,Quarterly,,https://www.ieee.org/membership-catalog/productdetail/showProductDetailPage.html?product=PER221-ELE&searchResults=Y
21100788860,,22780149,,,
21100790723,22113568,22113576,Quarterly,,https://www.iospress.nl/journal/computability/
21100792090,20832567,24496499,Quarterly,24 weeks,https://www.degruyter.com/view/j/jaiscr
21100792109,,23519789,,,
21100792504,15982327,19766939,Quarterly,,http://j-cs.org/index/index.php
21100803572,,21642583,,,
21100810658,,20814836,,,
21100818502,23221437,23452773,,,
21100818722,22237038,22264116,,,
21100821307,16879724,16879732,Annual,21 weeks,https://www.hindawi.com/journals/acisc/
21100823281,21667160,21667179,Quarterly,,http://www.igi-global.com/gateway/journal/64245
21100824892,17579961,1757997X,,,
